strain,lcl_NC_009641.1_prot_WP_000977774.1_49,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_227,lcl_NC_009641.1_prot_WP_000142049.1_249,lcl_NC_009641.1_prot_WP_000208414.1_250,lcl_NC_009641.1_prot_WP_000337827.1_288,lcl_NC_009641.1_prot_WP_000392183.1_289,lcl_NC_009641.1_prot_WP_000066021.1_298,lcl_NC_009641.1_prot_WP_000291089.1_299,lcl_NC_009641.1_prot_WP_000815401.1_300,lcl_NC_009641.1_prot_WP_000134097.1_301,lcl_NC_009641.1_prot_WP_000704705.1_302,lcl_NC_009641.1_prot_WP_001199439.1_303,lcl_NC_009641.1_prot_WP_000371250.1_304,lcl_NC_009641.1_prot_WP_000190223.1_305,lcl_NC_009641.1_prot_WP_000803062.1_306,lcl_NC_009641.1_prot_WP_000256597.1_307,lcl_NC_009641.1_prot_WP_001123684.1_308,lcl_NC_009641.1_prot_WP_000401950.1_309,lcl_NC_009641.1_prot_WP_001187264.1_310,lcl_NC_009641.1_prot_WP_000117792.1_311,lcl_NC_009641.1_prot_WP_000022735.1_312,lcl_NC_009641.1_prot_WP_012068339.1_313,lcl_NC_009641.1_prot_WP_000695747.1_314,lcl_NC_009641.1_prot_WP_000983954.1_315,lcl_NC_009641.1_prot_WP_000982708.1_316,lcl_NC_009641.1_prot_WP_001105621.1_317,lcl_NC_009641.1_prot_WP_001065083.1_318,lcl_NC_009641.1_prot_WP_000185669.1_319,lcl_NC_009641.1_prot_WP_000195799.1_320,lcl_NC_009641.1_prot_WP_031765538.1_324,lcl_NC_009641.1_prot_WP_000595257.1_325,lcl_NC_009641.1_prot_WP_000323259.1_344,lcl_NC_009641.1_prot_WP_000634521.1_345,lcl_NC_009641.1_prot_WP_000705895.1_346,lcl_NC_009641.1_prot_WP_000782200.1_347,lcl_NC_009641.1_prot_WP_000466778.1_348,lcl_NC_009641.1_prot_WP_000524021.1_349,lcl_NC_009641.1_prot_WP_000276627.1_350,lcl_NC_009641.1_prot_WP_000398878.1_351,lcl_NC_009641.1_prot_WP_000339146.1_352,lcl_NC_009641.1_prot_WP_000930256.1_353,lcl_NC_009641.1_prot_354,lcl_NC_009641.1_prot_WP_000028628.1_448,lcl_NC_009641.1_prot_WP_014373780.1_470,lcl_NC_009641.1_prot_WP_000882085.1_631,lcl_NC_009641.1_prot_WP_000395457.1_1100,lcl_NC_009641.1_prot_WP_000291474.1_1103,lcl_NC_009641.1_prot_WP_000195823.1_1124,lcl_NC_009641.1_prot_WP_001125015.1_1125,lcl_NC_009641.1_prot_WP_000990005.1_1127,lcl_NC_009641.1_prot_WP_000162700.1_1128,lcl_NC_009641.1_prot_WP_001003272.1_1129,lcl_NC_009641.1_prot_WP_000169946.1_1130,lcl_NC_009641.1_prot_WP_000921879.1_1131,lcl_NC_009641.1_prot_WP_001133041.1_1132,lcl_NC_009641.1_prot_WP_000072207.1_1133,lcl_NC_009641.1_prot_WP_000354307.1_1134,lcl_NC_009641.1_prot_WP_000438504.1_1135,lcl_NC_009641.1_prot_WP_001114085.1_1136,lcl_NC_009641.1_prot_WP_000208960.1_1137,lcl_NC_009641.1_prot_WP_001268314.1_1138,lcl_NC_009641.1_prot_WP_001017815.1_1139,lcl_NC_009641.1_prot_WP_000188650.1_1140,lcl_NC_009641.1_prot_WP_000002578.1_1141,lcl_NC_009641.1_prot_WP_001100161.1_1142,lcl_NC_009641.1_prot_WP_000105584.1_1143,lcl_NC_009641.1_prot_WP_000141464.1_1144,lcl_NC_009641.1_prot_WP_000350684.1_1145,lcl_NC_009641.1_prot_WP_000156406.1_1146,lcl_NC_009641.1_prot_1228,lcl_NC_009641.1_prot_WP_001265708.1_1383,lcl_NC_009641.1_prot_1747,lcl_NC_009641.1_prot_WP_001038688.1_1875,lcl_NC_009641.1_prot_WP_000416756.1_1891,lcl_NC_009641.1_prot_WP_001808146.1_1935,lcl_NC_009641.1_prot_WP_001148638.1_2014,lcl_NC_009641.1_prot_WP_000672038.1_2898
GCA_003193745.1_Saureus_AR_0470,1,2,,1,,,,2,,,1,1,1,,1,1,1,1,1,,,1,2,,,,,2,,,,1,1,,1,1,1,1,1,1,,,,2,,,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,,2,1
GCA_003073775.1_Saureus_AR462,2,2,,2,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,9,,1
GCA_000159535.2_Saureus_TCH60,1,2,,1,,,,1,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,1
GCA_003031425.1_Saureus_CFSAN007896,,2,,,,,,1,,,1,1,1,,,1,1,1,,1,,1,2,,,,,2,,,,,,,,,1,,,,1,1,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_009176765.1_Saureus_KG-03,2,2,,2,1,,,2,1,1,1,1,1,1,,1,1,1,1,,,2,3,,,,,3,1,1,1,1,1,1,1,1,2,,1,1,1,1,,2,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,11,1,1
GCA_005706855.1_Saureus_Lr2,,2,,,,,,1,1,1,1,1,,,,1,1,1,,1,1,,1,,,,,1,,,1,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCA_004785995.1_Saureus_WCUH29,2,2,,2,1,1,1,3,1,1,,1,1,,,1,1,2,,1,,2,3,,,,,3,1,1,,2,2,2,2,2,3,1,2,2,1,1,,2,,1,,1,2,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,7,1,1
GCA_003595505.1_Saureus_USA300-SUR8,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,1,2,2,1,2
GCA_001278745.1_Saureus_HOU1444-VR,2,2,,1,1,,,1,,2,,2,1,,,1,1,1,1,1,,2,2,,,,,2,,,,,,,,,,,,,2,2,2,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,8,1,1
GCA_006364775.1_Saureus_FDAARGOS_766,2,2,2,1,2,,,3,,,,,,,,,,1,1,,,2,3,,,,,3,,1,1,2,1,1,1,1,1,,1,1,1,1,1,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,6,2,2
GCA_008329885.1_Saureus_CFSAN082781,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_001975045.1_Saureus_UCI28,2,2,,2,1,,,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,,,,2,,,1,1,1,1,1,1,,,1,1,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,7,1,1
GCA_900635095.1_Saureus_NCTC8317,2,2,2,,1,,,1,,,,1,1,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,1
GCA_001307235.1_Saureus_JS395,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,2
GCA_005885975.1_Saureus_Col52-A5,2,2,2,2,2,,,1,,,,,,,,,,,1,,,1,1,,,,,2,1,2,1,,,,,,1,,,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,2,1,2
GCA_000626615.3_Saureus_FDAARGOS_5,2,2,2,2,2,,,1,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,3,,2
GCA_001548295.1_Saureus_FDA209P,2,2,2,,2,,,1,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,10,,2
GCA_003627835.1_Saureus_O326,,2,,1,1,,,,1,,,,,,,1,,1,,,,1,2,,,,,1,,1,,,,,,,1,,,,1,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_005707015.1_Saureus_R50,1,2,,2,,,,1,1,1,1,1,1,1,1,2,2,2,,1,,,1,,,1,1,2,,1,2,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,2,,,,1,1,2
GCA_009739735.1_Saureus_P1D9C1,2,2,,2,1,,,1,,,,,,,,,,,1,,,2,2,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,7,1,1
GCA_000695875.1_Saureus_UA-S391_USA300,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_007813675.1_Saureus_13,1,2,1,,1,,,,,,,,,,,,,1,,,,,1,,,,1,1,,1,,1,,,,,,,,,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,1,1
GCA_001019435.2_Saureus_NRS1,2,2,,2,1,1,1,,1,1,,,,,,,1,1,,1,,,2,,,,,1,,,1,1,1,,1,1,1,1,1,1,,,,2,,1,,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,10,1,1
GCA_003203655.1_Saureus_AR_0222,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,7,,1
GCA_002000865.1_Saureus_USA300-SUR24,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_007726545.1_Saureus_B8-13D,2,2,,2,1,,,,,,,,,,1,1,1,1,,1,1,,2,,,,,1,,1,,1,1,1,1,1,1,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,7,,1
GCA_001515745.1_Saureus_HC1340,,2,1,1,,,,2,2,1,,,,,1,2,,2,,3,,2,4,,,,,3,1,1,,1,1,1,1,1,1,,1,1,1,1,,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1
GCA_002000705.1_Saureus_USA300-SUR16,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_003073755.1_Saureus_AR464,,2,,,1,,,1,,,,,1,,,1,,1,,1,,,2,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,,1,1
GCA_003193965.1_Saureus_AR_0225,2,2,2,2,2,1,1,1,1,1,,,1,,,1,1,1,,1,,2,3,,,,,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,2,2,1,1,2
GCA_900607265.1_Saureus_BPH2003,,2,1,1,,1,1,2,1,,,,,,,,,,2,,,2,2,,,1,1,1,2,2,,1,1,1,1,1,,,1,1,,,1,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,1
GCA_003425915.1_Saureus_64,2,2,2,1,2,,,2,1,1,,,1,,,1,1,1,1,1,,1,3,,,2,,2,1,2,,,1,1,1,1,1,1,1,1,2,2,1,2,,2,1,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,2,2
GCA_001021875.1_Saureus_M121,2,2,2,2,2,,,,,,,,,,,,,1,,1,,1,3,,,,,2,1,2,3,1,1,,1,1,2,,1,1,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_900129335.1_Saureus_Clinicalisolate,2,2,2,2,2,,,1,,1,,,1,,,,1,1,,1,,1,1,,1,1,1,1,1,,1,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,1
GCA_001611345.1_Saureus_ST20130941,2,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2
GCA_900607305.1_Saureus_BPH2056,,2,1,1,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,1
GCA_004118995.1_Saureus_LAC,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_900635505.1_Saureus_NCTC4163,2,2,2,,2,,,1,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,7,,2
GCA_003030225.1_Saureus_CFSAN018750,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1
GCA_900324325.1_Saureus_14_5418,,2,,,2,,,1,,,,,,,,,,,,1,1,,1,,1,,,2,1,2,2,,,,,,1,,,,1,1,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_001019205.2_Saureus_FDAARGOS_48,1,2,,2,1,1,1,1,2,2,,,,,,2,1,2,,2,,1,3,,1,,,3,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,,1,,1,,,1,1,,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,2,,2,,3,1,1
GCA_001019485.2_Saureus_NRS120,2,2,2,2,2,,,2,,1,,,1,,,,1,1,,1,,2,3,,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,2,3,2,2,3,1,2
GCA_001641025.1_Saureus_V521,,2,1,1,,2,2,3,1,,,,,,,,,,3,,,3,3,,,1,1,2,3,3,2,2,2,2,2,2,,,2,2,,,1,2,,2,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1
GCA_000013465.1_Saureus_USA300_FPR3757,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_002204555.1_Saureus_ISU935,2,2,,2,1,,,1,1,,,,,,,1,,1,,,2,1,2,,,,,2,,1,,1,1,1,1,1,1,,,,,,,2,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,9,,1
GCA_003354645.1_Saureus_128,,2,1,,1,,,1,2,1,,1,1,,,1,1,2,1,1,,,1,,,,1,2,1,2,1,1,1,,1,1,1,,1,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,16,2,1
GCA_002442975.1_Saureus_HZW450,,2,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,4
GCA_000010465.1_Saureus_Newman,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,1,1,1,1,1
GCA_001465755.1_Saureus_RIVM3897,,2,,,2,,,1,1,,,1,1,,,,,1,1,,2,2,1,,,,,2,,1,1,1,1,1,1,1,2,,,,2,2,1,1,,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_900474525.1_Saureus_NCTC13394,2,2,2,2,1,,,1,,1,,,1,,,,1,1,,1,1,1,2,,1,1,1,2,1,,2,,,,,,1,,,,1,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,2
GCA_003945425.1_Saureus_TUM9463,2,2,,2,1,,,2,1,1,1,1,1,1,,1,1,1,3,1,1,2,4,,,,,3,1,2,,1,2,2,2,2,2,1,2,2,1,1,,1,,1,1,2,,,2,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,10,1,1
GCA_000383005.1_Saureus_ST228,2,2,,2,1,,,1,,,,,,,,,,1,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,8,,1
GCA_002310395.1_Saureus_Newman_D2C,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,3,2,2,2,2,2
GCA_009739755.1_Saureus_P1D8C2,2,2,,2,1,,,1,,,,,,,,,,,1,,,2,2,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,7,1,1
GCA_003944865.1_Saureus_80wphwpl,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_900324215.1_Saureus_3_LA_115,,2,,,2,,,2,1,,,,,,,1,,1,,1,2,1,1,,1,,,2,,2,2,1,1,1,1,1,1,,,,1,1,1,1,,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_003203635.1_Saureus_AR_0228,2,2,,2,1,1,1,3,2,2,,,1,,,2,2,2,2,2,,1,3,1,,,,3,,1,1,2,,,2,1,2,1,1,2,,,,2,,1,1,1,,,1,2,1,1,2,1,2,,1,1,1,1,1,1,1,1,1,,1,,,2,,2,,1,1,1
GCA_900324045.1_Saureus_24117-REV,2,2,3,2,2,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,1,,,,,1,,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,2
GCA_001735655.2_Saureus_3020.C01,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,2
GCA_001549655.1_Saureus_TMUS2126,,2,2,1,2,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,5,1,1
GCA_003354565.1_Saureus_187,2,2,,1,1,,,2,,,,,,,,,,1,1,,,2,2,,,,,2,,,,1,1,1,1,1,,,1,1,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,8,1,1
GCA_900092595.1_Saureus_Sa_Newman_UoM,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,3,2,2,2,2,2
GCA_003193705.1_Saureus_AR_0219,2,2,,2,1,1,1,,1,1,,,,,,,1,1,,1,,,2,,,,,1,,,1,1,1,,1,1,1,1,1,1,,,,2,,1,,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,1,1,1
GCA_001027045.1_Saureus_RKI4,2,2,2,2,1,,,1,,,,,,,,,,,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,1
GCA_003073635.1_Saureus_AR466,,2,,,1,,,2,,,,,,,,1,1,1,1,,,,1,,,,,2,1,2,2,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,,1,1
GCA_003354585.1_Saureus_629,2,2,,1,1,,,2,,,,,,,,,,1,1,,,2,2,,,,,2,,,,1,1,1,1,1,,,1,1,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,8,1,1
GCA_900324355.1_Saureus_10_5235,,2,,,2,,,1,,,1,1,1,,,1,1,1,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_001549675.1_Saureus_TMUS2134,,2,2,1,2,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,5,1,1
GCA_003354805.1_Saureus_54,2,2,2,2,2,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,2
GCA_002204575.1_Saureus_ISU926,,2,,,2,,,1,1,,,1,1,,,,,1,1,,2,2,2,,1,,,2,,2,1,1,1,1,1,1,1,,,,1,1,,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_003073715.1_Saureus_AR461,2,2,,2,1,1,1,2,1,1,,,1,,,1,1,1,2,1,,3,4,3,,,,4,,2,3,1,1,1,1,1,3,1,1,1,2,1,,2,,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,6,,1
GCA_009739795.1_Saureus_P1D7C1,2,2,,2,1,,,1,,,,,,,,,,,1,,,2,2,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,7,1,1
GCA_001900185.1_Saureus_HG001,2,2,2,2,1,,,2,,,,1,2,,,1,1,2,,,1,1,3,,,,,3,1,,,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,,2,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,,2
GCA_900474725.1_Saureus_NCTC13140,2,2,2,1,1,,,2,3,,,,,1,1,1,2,3,2,3,3,3,3,,,1,,2,1,3,,2,2,2,2,2,2,2,2,2,1,1,,2,,2,2,,,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,3,2,2,2,1,2
