strain,lcl_NC_009641.1_prot_WP_000977774.1_49,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_227,lcl_NC_009641.1_prot_WP_000142049.1_249,lcl_NC_009641.1_prot_WP_000208414.1_250,lcl_NC_009641.1_prot_WP_000337827.1_288,lcl_NC_009641.1_prot_WP_000392183.1_289,lcl_NC_009641.1_prot_WP_000066021.1_298,lcl_NC_009641.1_prot_WP_000291089.1_299,lcl_NC_009641.1_prot_WP_000815401.1_300,lcl_NC_009641.1_prot_WP_000134097.1_301,lcl_NC_009641.1_prot_WP_000704705.1_302,lcl_NC_009641.1_prot_WP_001199439.1_303,lcl_NC_009641.1_prot_WP_000371250.1_304,lcl_NC_009641.1_prot_WP_000190223.1_305,lcl_NC_009641.1_prot_WP_000803062.1_306,lcl_NC_009641.1_prot_WP_000256597.1_307,lcl_NC_009641.1_prot_WP_001123684.1_308,lcl_NC_009641.1_prot_WP_000401950.1_309,lcl_NC_009641.1_prot_WP_001187264.1_310,lcl_NC_009641.1_prot_WP_000117792.1_311,lcl_NC_009641.1_prot_WP_000022735.1_312,lcl_NC_009641.1_prot_WP_012068339.1_313,lcl_NC_009641.1_prot_WP_000695747.1_314,lcl_NC_009641.1_prot_WP_000983954.1_315,lcl_NC_009641.1_prot_WP_000982708.1_316,lcl_NC_009641.1_prot_WP_001105621.1_317,lcl_NC_009641.1_prot_WP_001065083.1_318,lcl_NC_009641.1_prot_WP_000185669.1_319,lcl_NC_009641.1_prot_WP_000195799.1_320,lcl_NC_009641.1_prot_WP_031765538.1_324,lcl_NC_009641.1_prot_WP_000595257.1_325,lcl_NC_009641.1_prot_WP_000323259.1_344,lcl_NC_009641.1_prot_WP_000634521.1_345,lcl_NC_009641.1_prot_WP_000705895.1_346,lcl_NC_009641.1_prot_WP_000782200.1_347,lcl_NC_009641.1_prot_WP_000466778.1_348,lcl_NC_009641.1_prot_WP_000524021.1_349,lcl_NC_009641.1_prot_WP_000276627.1_350,lcl_NC_009641.1_prot_WP_000398878.1_351,lcl_NC_009641.1_prot_WP_000339146.1_352,lcl_NC_009641.1_prot_WP_000930256.1_353,lcl_NC_009641.1_prot_354,lcl_NC_009641.1_prot_WP_000028628.1_448,lcl_NC_009641.1_prot_WP_014373780.1_470,lcl_NC_009641.1_prot_WP_000882085.1_631,lcl_NC_009641.1_prot_WP_000395457.1_1100,lcl_NC_009641.1_prot_WP_000291474.1_1103,lcl_NC_009641.1_prot_WP_000195823.1_1124,lcl_NC_009641.1_prot_WP_001125015.1_1125,lcl_NC_009641.1_prot_WP_000990005.1_1127,lcl_NC_009641.1_prot_WP_000162700.1_1128,lcl_NC_009641.1_prot_WP_001003272.1_1129,lcl_NC_009641.1_prot_WP_000169946.1_1130,lcl_NC_009641.1_prot_WP_000921879.1_1131,lcl_NC_009641.1_prot_WP_001133041.1_1132,lcl_NC_009641.1_prot_WP_000072207.1_1133,lcl_NC_009641.1_prot_WP_000354307.1_1134,lcl_NC_009641.1_prot_WP_000438504.1_1135,lcl_NC_009641.1_prot_WP_001114085.1_1136,lcl_NC_009641.1_prot_WP_000208960.1_1137,lcl_NC_009641.1_prot_WP_001268314.1_1138,lcl_NC_009641.1_prot_WP_001017815.1_1139,lcl_NC_009641.1_prot_WP_000188650.1_1140,lcl_NC_009641.1_prot_WP_000002578.1_1141,lcl_NC_009641.1_prot_WP_001100161.1_1142,lcl_NC_009641.1_prot_WP_000105584.1_1143,lcl_NC_009641.1_prot_WP_000141464.1_1144,lcl_NC_009641.1_prot_WP_000350684.1_1145,lcl_NC_009641.1_prot_WP_000156406.1_1146,lcl_NC_009641.1_prot_1228,lcl_NC_009641.1_prot_WP_001265708.1_1383,lcl_NC_009641.1_prot_1747,lcl_NC_009641.1_prot_WP_001038688.1_1875,lcl_NC_009641.1_prot_WP_000416756.1_1891,lcl_NC_009641.1_prot_WP_001808146.1_1935,lcl_NC_009641.1_prot_WP_001148638.1_2014,lcl_NC_009641.1_prot_WP_000672038.1_2898
GCA_900475245.1_Saureus_NCTC8325,2,2,2,2,2,,,2,,,,1,2,,,1,1,2,,,1,1,3,,,,,3,1,,,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,,2,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,,2
GCA_003073655.1_Saureus_AR465,2,2,,2,1,1,1,2,1,1,,,,,,1,1,1,1,1,,3,4,,,2,,4,,3,2,1,1,,1,1,3,1,1,1,2,2,2,2,,1,,1,,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,6,,1
GCA_002633825.1_Saureus_CFSAN007851,1,2,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,1
GCA_002140115.1_Saureus_FORC_039,2,2,2,,,1,1,2,2,,,,,1,1,2,1,2,,1,1,1,2,,,,,1,,,1,1,1,,1,1,1,,1,1,,,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,2
GCA_900324415.1_Saureus_22_LA_562,,2,,,2,,,1,,,,,,,,,,,,,,2,3,,,,,1,,1,3,,,,,,2,,,,2,2,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_000967365.1_Saureus_ST228,2,2,,2,1,,,1,,,,,,,,,,1,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,8,,1
GCA_001183725.2_Saureus_USA300_2014.C02,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,2
GCA_000237265.1_Saureus_LGA251,,2,,,,,,,1,,,,,,,,,1,,1,,,1,,1,,1,1,,1,,1,1,1,,,,,,,,,,2,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,1,,,1
GCA_002803885.1_Saureus_55-99-44,,2,,,2,,,1,,,,,,,,,,,1,,,1,2,,,1,,,1,1,,,,,,,1,,,,1,1,,3,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_004772175.1_Saureus_O55,,,,,,,,1,,,,,,,,,,1,,,1,1,2,,1,,1,2,,2,,1,,,,,1,,,,1,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,2,,2,1,,,1
GCA_001018975.2_Saureus_NRS143,,2,,,,,,1,,,,,1,,,,,1,,,1,,2,,,,,2,,1,2,,,,,,,,,,,,1,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_001656075.1_Saureus_08-02300,,2,3,1,2,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1
GCA_001656045.1_Saureus_08-02119,2,2,3,2,2,,,1,1,1,,,,,,1,1,1,1,1,,2,2,,1,2,,2,,1,,1,1,1,1,1,1,,1,1,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,2
GCA_000967385.1_Saureus_ST228,2,2,,2,1,,,1,,,,,,,,,,1,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,8,,1
GCA_003193765.1_Saureus_AR_0471,,2,,,1,,,2,1,,,,,,,,,1,1,1,,,2,,,,,2,,1,,1,1,1,1,1,1,,1,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_001725965.1_Saureus_FORC_027,2,2,,2,1,1,1,,1,1,,,,,,,1,1,1,1,,1,3,,,,1,3,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,,1,1,,,,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,8,,1
GCA_008462245.1_Saureus_GD1706,,2,,,2,,,3,,,,,,,,,,1,,1,,2,2,,1,,1,1,1,2,1,1,1,,1,1,1,1,,,1,1,,1,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,,,1
GCA_002000725.1_Saureus_USA300-SUR17,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_900324295.1_Saureus_16_LA_309,,2,,,1,,,1,,,,,,,,,,1,,1,,,2,,1,,,2,1,2,2,1,1,1,1,1,,,,,,,,1,,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_003595425.1_Saureus_USA300-SUR4,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,1,2,2,1,2
GCA_001018845.2_Saureus_NRS153,,2,1,,1,,,1,1,1,,1,1,,,1,1,1,2,1,,1,2,,,,1,3,2,2,1,1,1,,1,1,2,,1,1,1,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,15,1,1
GCA_003609915.1_Saureus_GN1,1,2,,1,2,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,2
GCA_900004855.1_Saureus_BB155,,2,,,2,1,1,1,1,1,,,,,,1,1,1,1,,1,1,3,,,1,,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,,3,,1,,,2,2,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,,1,1
GCA_004421085.1_Saureus_04-002,,2,,,,,,1,,,1,1,1,,,1,1,1,,1,,1,1,,,,,2,,,,,,,,,1,,,,1,1,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,1,1
GCA_008619935.1_Saureus_KUH180038,2,2,2,1,1,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,1,1,2
GCA_900324315.1_Saureus_12_LA_293,,2,,,2,,,2,1,,,,,,,1,,1,,1,1,2,3,,1,,,3,,2,3,1,1,1,1,1,2,,,,,,,1,,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_900635245.1_Saureus_NCTC13142,,2,,,,,,1,,,,,,,,,,,1,,,1,2,,1,1,1,2,,,2,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_002000685.1_Saureus_USA300-SUR15,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_007726325.1_Saureus_B3-14B,,2,,,2,,,,,,,,,,2,2,1,2,,1,2,1,3,,2,,1,3,,1,,1,1,1,1,1,1,,1,1,1,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,1
GCA_008619235.1_Saureus_KUH140013,2,2,2,2,1,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,1,1,2
GCA_007410625.1_Saureus_JKD6004-DR,,2,1,1,,,,1,,,,,,,,,,1,1,1,,,2,,,1,1,1,1,1,,1,1,1,1,1,,,1,1,,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,1
GCA_000462955.1_Saureus_6850,1,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,2
GCA_002000805.1_Saureus_USA300-SUR21,2,2,2,2,2,,,1,,,,,1,,,1,,,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_000011265.1_Saureus_MW2,1,2,1,,1,,,2,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,1
GCA_900324235.1_Saureus_5_3949,,2,,,2,,,2,1,1,,,,,,,,2,1,1,1,2,4,,1,,,4,,2,3,1,1,,1,1,2,,,,1,1,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_002795285.1_Saureus_USA400-0051,1,2,1,,1,,,2,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,1
GCA_000010445.1_Saureus_Mu3,2,2,,2,1,1,1,,1,1,,,,,,,1,1,,1,,,2,,,,,1,,,1,1,1,,1,1,1,1,1,1,,,,2,,1,,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,10,1,1
GCA_001640925.1_Saureus_NCCP14562,2,2,,2,1,,,1,,,,,,,,,,,1,,,1,2,,,,1,2,2,1,,1,1,1,1,1,1,,1,1,1,1,1,2,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,9,,1
GCA_003426145.1_Saureus_MOZ66,2,2,2,2,2,,,2,1,,1,2,2,,,2,2,2,,1,,1,2,,,,,1,1,,,1,1,1,1,1,,,1,1,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_001558795.2_Saureus_FDAARGOS_159,2,2,,2,1,1,1,2,1,,1,1,1,1,1,1,,1,,,1,1,2,,1,,1,2,2,2,1,1,1,,1,1,1,1,1,1,,,,2,,1,,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,7,1,1
GCA_000284535.1_Saureus_HO50960412,,2,,,,,,1,,,,,,,,,,,1,,,1,2,,1,,1,2,,,2,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_001640905.1_Saureus_NCCP14558,2,2,,2,1,,,1,1,,,,,,1,1,,1,2,,,1,3,,,,2,3,2,2,,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,2,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,10,,1
GCA_007726525.1_Saureus_B4-59C,1,2,,2,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,1,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,9,,1
GCA_000709475.1_Saureus_XN108,,2,1,1,,1,1,3,,,,,,,,,,2,3,2,,1,3,,,1,1,,3,3,3,1,1,1,1,1,,,1,1,1,1,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,2,1
GCA_002202095.1_Saureus_Seattle1945,1,2,,1,,,,,,1,,,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,,,,,,1,1,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_003186125.1_Saureus_MOK042,,2,1,1,1,,,,,1,,1,1,,,,1,1,,1,,2,1,,2,1,1,2,1,1,1,1,1,1,,,1,,,,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,6,,1
GCA_003342775.1_Saureus_F17SA003,,2,2,1,2,,,2,,1,,,1,,1,1,1,1,,1,,,2,,,,,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,2,,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,6,1,1
GCA_900324275.1_Saureus_6_LA_232,,2,,,2,,,1,,,,,,,,,,,1,,,1,2,,1,,,2,,1,1,,,,,,1,,,,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_003184985.1_Saureus_IT1-S,,2,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
GCA_006364675.1_Saureus_FDAARGOS_773,2,2,2,2,2,,,1,1,,,,,,,1,1,1,,1,,,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,,2,,2,,,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,1,,2
GCA_003354725.1_Saureus_143,,2,,,,1,,1,1,1,1,1,1,,,1,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,1
GCA_001956815.1_Saureus_USA300_SUR1,2,2,2,2,2,,,,,,,,,,,,,1,,1,,1,3,,,,,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_900474755.1_Saureus_NCTC10344,2,2,2,,2,,,1,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,4,,2
GCA_000009005.1_Saureus_RF122,,2,,1,1,,,,1,1,,,,,,,,1,,,,1,1,,,,,,,,,1,1,1,1,1,1,1,,,1,,,2,,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,1,,,1
GCA_001019415.2_Saureus_NRS146,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,2
GCA_002097595.2_Saureus_M92,,2,1,1,,1,1,2,,1,,,,1,1,1,,1,2,1,,2,2,,,,,2,2,1,2,1,1,1,1,1,,,1,1,,,,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,1
GCA_002088995.1_Saureus_C2406,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_001045995.2_Saureus_HUV05,1,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,1,2
GCA_004153345.1_Saureus_VB9352,,2,,2,,,,1,2,1,1,1,1,1,1,2,2,2,,1,,,2,,,1,1,2,,1,2,1,,1,1,1,1,1,1,1,1,1,,2,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,2,,2
GCA_001880265.1_Saureus_SA40TW,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCA_003394105.1_Saureus_WCH-SK2,,2,1,1,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1
GCA_001298325.2_Saureus_BA01611,2,2,2,2,1,,,1,,2,,,,,,,1,2,2,,2,1,2,,1,,1,2,,,2,,,,,,2,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,1
GCA_003595405.1_Saureus_USA300-SUR3,2,2,2,2,2,,,1,,,,,1,,,1,,,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_000011525.1_Saureus_MSSA476,1,2,1,,1,,,2,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,1
GCA_000418345.1_Saureus_Bmb9393,,2,1,1,,,,2,1,1,,,,,2,2,,2,,2,,3,3,,,,,2,1,1,,1,1,1,1,1,1,,1,1,1,1,,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,1,1
GCA_003203675.1_Saureus_AR_0220,2,2,,2,1,,,2,1,1,,,1,,1,1,1,1,2,1,1,1,2,,,,,2,,1,1,1,1,,1,1,,1,1,1,,,,2,,1,1,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,3,2,1
GCA_003425545.1_Saureus_199,2,2,2,1,2,,,2,1,1,,,1,,,1,1,1,1,1,,1,3,,,2,,2,1,2,,,1,1,1,1,1,1,1,1,2,2,1,2,,2,1,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,2,2
GCA_003354985.1_Saureus_628,2,2,,1,1,,,2,,,,,,,,,,1,1,,,2,2,,,,,2,,,,1,1,1,1,1,,,1,1,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,8,1,1
GCA_900607255.1_Saureus_BPH2019,,2,1,1,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1
GCA_000382985.1_Saureus_ST228,2,2,,2,1,,,1,,,,,,,,,,1,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,8,,1
GCA_000012045.1_Saureus_COL,1,2,2,2,2,,,1,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,3,,2
GCA_009684655.1_Saureus_ZY05,,2,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCA_001611425.1_Saureus_ST20130939,2,2,3,2,2,1,1,1,1,1,,,,,,,1,1,,1,,,1,,,1,,1,,1,,1,1,1,1,1,,,1,1,,,,2,,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,2,1,2,,,,2
GCA_900635315.1_Saureus_NCTC9555,,2,,1,1,,,1,3,2,,,,,,,1,3,,2,2,,3,,,,1,3,,1,,1,1,1,,1,1,1,,,1,1,,2,,1,1,,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,1,,2,1
GCA_900474535.1_Saureus_NCTC7485,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,1
GCA_900324265.1_Saureus_9_LA_281,,2,,,2,,,3,,,,,,,,,1,1,2,1,1,2,2,,1,,1,3,,3,2,1,1,1,1,1,2,,,1,1,,1,1,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_004193895.1_Saureus_H489,2,2,2,2,2,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,2,1,1,2
GCA_002633785.1_Saureus_CFSAN007847,,2,,,,,,1,1,,,,,,,1,,1,,,1,,2,,,,,2,,1,1,1,1,,1,1,1,,1,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_002895385.1_Saureus_MRSA107,,2,1,1,,,,3,,1,,,,,,,,1,2,1,,2,3,,,1,1,2,2,2,2,,,,,,1,,,,2,2,1,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,1
GCA_003609855.1_Saureus_JP080,,2,,,2,,,1,,,,1,1,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_002089055.1_Saureus_GD5,,2,,,2,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCF_000953255.1_Staphylococcus_aureus_Sa_ILRI_217,1,2,,1,,,,3,2,,,,,,,,2,2,,,,2,3,,,,,2,,2,,1,1,1,1,1,1,,1,,,,,2,,,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,,2,1
GCA_900475055.1_Saureus_NCTC11940,,2,1,1,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1
GCA_002310435.1_Saureus_NYU_Newman,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,3,2,2,2,2,2
GCA_900474675.1_Saureus_NCTC3761,2,2,1,,1,1,1,,1,,,,,,,,,1,,,,,1,,,,,,,1,1,1,1,1,1,1,1,,1,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,7,,2
GCA_001594205.1_Saureus_MCRF184,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_004136655.1_Saureus_S57,2,2,2,2,1,,,1,1,1,,,,,,,1,1,,1,,1,1,,1,1,,1,,1,1,,,,,,1,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1
GCA_900635265.1_Saureus_NCTC12233,2,2,2,2,1,,,1,,,,,,,,,,,1,,,1,2,,,1,,1,1,1,,,,,,,1,,,,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_001046095.2_Saureus_V2200,2,2,2,2,2,,,1,,,,,,,,,,,1,,,1,2,,,,,2,1,2,1,,,,,,1,,,,1,1,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,2,1,2
GCA_000145595.1_Saureus_JKD6008,,2,1,,,,,1,,,,,,,,,,1,1,1,,,2,,,1,1,1,1,1,,1,1,1,1,1,,,1,1,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,1
GCA_008620055.1_Saureus_KUH180062,2,2,,2,1,,,2,1,1,1,1,1,1,,1,,,1,,,2,3,,,,,3,,2,1,1,1,1,1,1,1,,1,1,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,12,,1
GCA_002000845.1_Saureus_USA300-SUR23,2,2,2,1,1,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_000009665.1_Saureus_Mu50,2,2,,2,1,1,1,,1,1,,,,,,,1,1,,,,,2,,,,,1,,,1,1,1,,1,1,1,1,1,1,,,,2,,1,,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,10,1,1
GCA_000452385.2_Saureus_Tager104,1,2,,,,1,1,2,2,2,,1,1,1,1,2,1,2,,2,1,,2,,,,,2,1,1,,1,1,,1,1,1,1,1,1,,,,1,,2,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,,,1,2
GCA_002209325.1_Saureus_FORC_045,1,2,1,,1,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,1
GCA_003991015.1_Saureus_USA100,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,,1
GCA_003354625.1_Saureus_468,,2,,,,1,,1,1,1,1,1,1,,,1,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,1
GCA_008244745.1_Saureus_NRS384-rpoB-H481N-SCV,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_003186105.1_Saureus_MOK063,1,2,2,,2,,,,,,,,,,,,,,,,,1,,,1,,1,1,,1,,,,,,,1,,,,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,5,,2
